,city,name,reviews,rating,review_id,review_text,review_rating,review_datetime_utc
15,Calgary,African Choice Market,31.0,4.8,ChZDSUhNMG9nS0VJQ0FnSUR4cXNYOVRREAE,Great place to buy your African stuffs,5.0,06/06/2023 03:55:03
16,Calgary,African Choice Market,31.0,4.8,ChZDSUhNMG9nS0VJQ0FnSUNKNC1TQ0dBEAE,"Great place, for Africans and non-Africans.",5.0,07/04/2023 04:28:19
17,Calgary,African Choice Market,31.0,4.8,ChdDSUhNMG9nS0VJQ0FnSUQtNGZ5RDlBRRAB,"I love this place so much, great customer service ! Chisom is super nice. Thank you",5.0,12/01/2022 22:02:02
18,Calgary,African Choice Market,31.0,4.8,ChdDSUhNMG9nS0VJQ0FnSUNCeVp6NnJBRRAB,They have the freshest African food especially the yam.,5.0,12/29/2022 02:20:00
19,Calgary,African Choice Market,31.0,4.8,ChZDSUhNMG9nS0VJQ0FnSUR5el9EWldnEAE,They have quality and different African food items.This branch in NE sells both as retailers and wholesale.,5.0,06/13/2022 12:25:11
20,Calgary,African Choice Market,31.0,4.8,ChdDSUhNMG9nS0VJQ0FnSUNoNW9udHhRRRAB,Good Store for Nigerian goods.,4.0,02/12/2023 01:17:44
21,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15.0,5.0,ChZDSUhNMG9nS0VJQ0FnSURCd3NPZUh3EAE,"Our one stop shop for everything we need from an African store. Food is fresh and authentic, customer service is top notch. Best part is, it’s only about a 13 minutes drive from Chestermere so a quick drive is all it takes for me to make some delish meals😋😋.",5.0,01/15/2023 00:55:59
22,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUM2a2NiZjlBRRAB,"I came here to pick up an item, but ended up loading my whole trunk with goods. Excellent and professional customer service. A very welcoming, family-oriented shop. Lots of varieties with competitive prices. Exceptionally clean and healthy environment. Lots of free parking. An extra star for the shop's delivery service. Cool!",5.0,09/06/2021 21:29:33
23,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15.0,5.0,ChZDSUhNMG9nS0VJQ0FnSUN1dTRiR0NBEAE,"This place is amazing. As if you are right at home. You find all you are looking for at very good prices. The public relation is good, so would like to revisit the place for your items.",5.0,08/07/2022 09:35:50
24,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15.0,5.0,ChZDSUhNMG9nS0VJQ0FnSURld2FheEpnEAE,If ever you need African food stuff or Cameroonian to be precise.  Then this is the right place. They never disappoint and they are super lovely,5.0,02/08/2023 23:01:40
25,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15.0,5.0,ChdDSUhNMG9nS0VJQ0FnSURLMy1fYmp3RRAB,"I absolutely love it! My one stop shop for all my home land food needs. They are very affordable, clean and organized. Love it!",5.0,05/21/2021 22:39:05
26,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15.0,5.0,ChdDSUhNMG9nS0VJQ0FnSURpa2JlbG5nRRAB,Best african store in town. Authentic African food and very affordable. Best customer service.,5.0,12/06/2020 01:49:27
27,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15.0,5.0,ChZDSUhNMG9nS0VJQ0FnSUNLNUxpMVh3EAE,Prices are very good. Place is very clean and customer service is exceptional. Will be going back there again,5.0,03/29/2021 04:30:11
28,Calgary,Sage Meadows Market African Store,58.0,4.2,ChdDSUhNMG9nS0VJQ0FnSURSLXBfdHNnRRAB,The garri there sell is full of sand my advised to everyone is to avoid that garri please this garri can give you appendicitis be careful,1.0,04/23/2023 18:29:01
29,Calgary,Sage Meadows Market African Store,58.0,4.2,ChZDSUhNMG9nS0VJQ0FnSUN4dkxDSFFREAE,"Good store. I buy regularly there. However, there is an attendant there, as at May, 2023. Very unwelcoming. Seem like a frustrated fellow. Terrible customer service. I don't intend to return there anytime soon",2.0,05/13/2023 00:00:11
30,Calgary,Sage Meadows Market African Store,58.0,4.2,ChZDSUhNMG9nS0VJQ0FnSURPbWFUdmVBEAE,"BEWARE!
Honestly so disappointed in this store.
I have been cheated more than twice and most times they claim its a mistake. They knowingly cheat you and add to the bills you have and when you find out, they claim its a mistake.
The first time this happened to me, i thought it was actually an error on their part but when it kept repeating itself, i knew they were aware of what they were doing.
please make sure to check your receipts properly when you buy things from this store and most importantly look at the price before you go to the counter so they don't add to it, as they are fond of doing this.

EDIT:

They now have a pos system which issues receipts and more transparent system, hence I have come back to edit review.",4.0,06/29/2023 14:28:19
31,Calgary,Sage Meadows Market African Store,58.0,4.2,ChZDSUhNMG9nS0VJQ0FnSUNwMjRUS05BEAE,Unfriendly / unwelcoming store attendant (the lady). She needs to do better. Store is neat though and we'll organized,2.0,08/11/2023 01:20:02
32,Calgary,Sage Meadows Market African Store,58.0,4.2,ChdDSUhNMG9nS0VJQ0FnSURoZ0p2MndBRRAB,"This store will cheat you!! The staff always inflate prices of the items, it has happened to me thrice. I will always call her out before she corrects it, don’t even get me started on the rude man there. Recently they’ve started removing price tags from their products so you have no way of knowing the actual price and then they can tell you whatever they like. I won’t be shopping here anymore and I’d advise you not to.",1.0,02/26/2023 15:39:45
33,Calgary,Sage Meadows Market African Store,58.0,4.2,ChZDSUhNMG9nS0VJQ0FnSUNPeHNlVUtnEAE,"Be careful in this store they inflate bills so always check your receipts.I have experienced it twice in this store and the woman claimed it was a mistake.Always check your receipt with the things you bought.The first time I went to this store a lady came back to complain that she was charged for pepper twice,the owner screamed mistake and refunded ,I didn’t believe her so I stylishly followed  the woman who told me she has done it to her before.I just called the person that referred me to this store and the guy said he has experienced it too although not from the woman but her staff and they never refunded the money to him.I will post on groups too to create awareness this is so bad.Yesterday I bought things and she inflated my bill with 5 dollars as usual and also screamed mistake 😳,although she refunded me But I was so angry that I said I will create awareness on this.As you can see from my receipt she added bread twice and the 5 dollars was given back to me when I went back.",1.0,06/08/2022 15:24:51
34,Calgary,Sage Meadows Market African Store,58.0,4.2,ChdDSUhNMG9nS0VJQ0FnSURoNEs3SV9RRRAB,Nice and wonderful store to shop all your African glorcery needs .,5.0,02/27/2023 03:42:40
35,Calgary,Agape African Store,50.0,4.5,ChZDSUhNMG9nS0VJQ0FnSUNCNElmREZREAE,"Stocked up for all your African foodstuffs, groceries  & accessories. The attendant is quite cordial and respectful",5.0,12/14/2022 17:12:16
